"Site","DO_mean","DO_max","DO_min","DO_mean_monthly_range","DO_mean_yearly_range","Ecoli_mean","Ecoli_max","Ecoli_min","Ecoli_mean_monthly_range","Ecoli_mean_yearly_range","Entero_mean","Entero_max","Entero_min","Entero_mean_monthly_range","Entero_mean_yearly_range","pH_mean","pH_max","pH_min","pH_mean_monthly_range","pH_mean_yearly_range","Phosphorus_mean","Phosphorus_max","Phosphorus_min","Phosphorus_mean_monthly_range","Phosphorus_mean_yearly_range","Lat","Lon","Secchi_mean","Secchi_max","Secchi_min","Secchi_mean_monthly_range","Secchi_mean_yearly_range","Temp_mean","Temp_max","Temp_min","Temp_mean_monthly_range","Temp_mean_yearly_range"
"Deep end",6.86217299020556,33.800208067337,4.19518583259745,4.1867628544148,3.72446930978589,54.6423561053111,382.117509877117,1.00131491593087,25.9861896832477,34.6670582658586,46.0997005746503,1413.52603519578,0.178571428571429,437.947138786311,347.579654253624,8.00283990705369,10.3019966539872,5.35948490943639,25.5005294005364,-12.3619692837603,0.0167092700884295,0.191810362950076,0.00206628569670204,0.0342560879979834,0.0286798887699804,17.7631010716058,-64.6687894324026,1.61220500204494,7.18322889220979,1.14438470448768,2.34662520230918,1.87851669819026,28.2821270574085,30.8952209537854,25.4229121682523,1.40426096721796,2.55910514183505
"Isaac Bay",7.00617623711312,24.2310436780457,4.31845215091995,3.19707451969889,2.94068177755604,53.7971164222858,348.933228893488,2.30217205021543,33.0069905435888,36.8994042044962,31.8583604236259,153.574135427368,0.178571428571429,362.98092107402,347.579654253624,8.10397311396761,-904.296662381094,5.69061146019614,893.397030693766,-130.336312338761,0.0142832068086795,0.0680198204663033,0.00186958971913769,0.0237577866017152,0.0110999102421643,17.7509746699134,-64.573123121735,4.20187945295034,11.2395313139643,1.51063826282556,3.10630848788305,2.49406543442596,28.2022332393857,30.5986777960469,25.6066347842136,1.36036526528024,2.28151777236621
"Columbus landing",6.58907212711506,16.3052868602074,4.32685721824737,2.84685982151239,2.49449153846644,64.8395399531391,510.423659902189,1.00485947405685,59.5420309833868,36.5977868006313,45.8399872238606,3480.55835922678,0.178571428571429,562.171749266669,347.579654253624,8.21105942554074,10.2975521429564,4.4942499475559,1.28660177260074,-0.106800070519078,0.0173301760152818,0.118159170445083,0.00179546656685208,0.0270217897661373,0.014217639527229,17.7791035470714,-64.7607921143209,2.27217406108599,4.42824561068136,1.13275900073351,1.76876772142417,1.32812131879202,28.4062374426783,31.174154911153,25.6246750636654,1.27940945957486,2.45815176731124
"The Palms",7.07437987380331,52.7276382510019,4.31564666221938,5.96248180910934,3.60294475352334,47.7120954630418,324.785727801298,0.998428879207041,38.7773888587018,27.2877093845517,34.0362469407972,2443.40202223748,0.178571428571429,288.607422018297,347.579654253624,8.10346499573803,11.5187247272877,4.87234965634436,10.631880501988,-34.362068303858,0.0161907652076124,0.00897286841427858,0.00159523537439215,0.0173536940154847,0.00913998738701411,17.7670996112393,-64.7288001213367,5.83414961625466,12.6446859623248,1.55818258658497,3.83905401626903,2.65090130881406,28.1811113886563,32.713700654376,25.6490584194311,1.32317416350191,2.39760671949242
"Butler Bay",6.69141528153244,21.2860042596588,4.31845215091995,2.72578494529637,1.96113220984393,103.686337399601,669.316696721693,1.01920118239443,80.8676790404202,117.905304654229,41.8846184599177,3852.27940245973,0.178571428571429,457.153017782699,347.579654253624,8.16629067038931,5.76490018480294,3.3327022947872,-11.2829409081482,15.425413474057,0.0170174770744387,0.114634720074619,0.00182473097029016,0.0277529996712169,0.00787077854177991,17.75016254858,-64.8924608352403,4.10465331910021,11.3693551909196,1.56720201305666,3.10940559204592,2.4160171252419,28.2242146417766,30.7487227057641,25.5814526744159,1.36036526528024,2.22554419548704
"WAPA",7.10772765948383,60.2213284469463,4.36834198494627,6.53397547261571,3.96413654233235,46.8723104591414,289.050124557937,0.999932906320146,28.3459770120832,22.9033972570942,29.9907635539592,1913.26555858816,0.178571428571429,166.116315689051,347.579654253624,8.12616696764425,-107.313407970013,5.02996322385757,-21.56849656114,79.5812564438366,0.0167880137093041,0.0410932440867213,0.00168223654778841,0.0227879208623579,0.00923059016464684,17.7591000150812,-64.7128003107863,6.67656286174365,17.2177660525732,1.41996240213669,5.5515850586687,4.67108270141032,28.1374724688894,30.6722326636099,25.6478360883778,1.29238115213963,2.33894507769856
"Fredericksted Pier",6.59338066292453,12.8333818655744,4.74203725937208,1.77987943023021,1.49605676112062,178.37721159252,1144.81546164281,0.999909823634785,154.937429047263,230.703319438623,73.7294638152618,2179.43039686729,0.178571428571429,333.922466563519,347.579654253624,8.06606312547355,10.5205047031103,4.01112001600887,1.62623816736325,0.428841421462138,0.0154392108784204,0.0581265235673025,0.00162740419976946,0.0227956190227545,0.00699365255881491,17.715106088035,-64.8848543483541,4.77744441442097,10.0527662385613,1.83519968817193,2.79813844030337,1.6991376249076,28.0942745605944,30.4717882655102,25.0942263532926,1.31550544792673,2.1674766488923
"Joe's Reef",6.96812942082284,55.5495845418718,4.31845215091995,5.43898066219935,3.22706129970614,50.2385874127276,326.924516857108,1.11702348563261,27.4578235647113,31.4117038651144,31.6403296261942,1059.03700539691,0.178571428571429,373.969621291368,347.579654253624,8.17181971403495,5.85496817675077,5.61329911143979,-10.2783569103013,17.0668784644034,0.0153911937983577,0.0987597963626759,0.00182531558589435,0.0263387308098058,0.015522818676159,17.7670345794664,-64.6287333651588,4.07102492430625,11.2903066768633,1.53147534218957,3.10937729308132,2.40979202311557,28.2192445100249,31.0242318836324,25.3237930097403,1.36036526528024,2.385394064519
"Channel Rock",7.06389730132368,51.453720288074,4.31845215091995,5.1365216036947,3.35696474157999,51.2135509919121,330.950588889403,2.93251484589626,29.3275729926384,32.7582880304178,29.3441070191971,787.241506722766,0.178571428571429,230.947583885092,347.579654253624,8.14260078581917,39.2020931582936,5.79968068010487,-72.6817286874501,23.5569308895264,0.01440814398522,0.0492832769093416,0.00182063013637157,0.0224206536946571,0.00874760962832697,17.7712593266238,-64.5928373755885,4.00461052024641,11.0659020975193,1.52707183567562,3.10923881292707,2.40335309845055,28.2097937958589,31.127689522504,25.4008550737552,1.36036526528024,2.33766462631895
"North Star",6.83490551320054,55.1639626767171,4.31845215091995,5.62534871305577,2.622120082314,79.9053558117297,538.442292828877,1.03573744203067,65.8841378665542,74.3993197870785,39.0502065542427,4041.46022928723,0.178571428571429,940.114359697869,347.579654253624,8.13355244429151,8.33735813671696,3.90172550269599,-2.98576210091043,5.80763334549673,0.0207859246424437,0.49144256912358,0.00183815384735793,0.0538584733455969,0.055309283482896,17.7672503525428,-64.8208222056854,4.54928398916314,12.6484121307279,1.82593696362769,3.11302442339586,2.54316250087376,28.1958585909173,30.4184019983428,25.6634367590415,1.36036526528024,2.29489532129003
"Cane Bay",6.86696697983342,50.0443324861739,4.38093896339094,5.23357427930919,2.72907831661101,76.9935915041908,525.047135746566,1.04310153804925,63.7419843971934,68.8499408772769,41.2183930153671,4261.44024718528,0.178571428571429,1032.64081481003,347.579654253624,8.0843385849369,10.2285659833358,3.91577819918731,1.06518197717383,1.10467542949467,0.0208923761424067,0.598215590818013,0.00201582061492189,0.0584206911984472,0.0735705580829769,17.7749562327685,-64.8127799065237,6.14233070262847,14.9168575657999,1.90876526381471,4.3860413604299,2.94514723016226,28.1049665837777,30.4303014879751,25.6087695722232,1.26412948450506,2.29088157161432
"Carambola shallow",6.91465416236769,55.8093309206145,4.56621514367034,5.67446992363923,2.76075631490633,84.4494721743925,562.204306618566,1.03586501020813,69.0943583993589,82.647969639169,34.5311071513027,4008.63550266918,0.178571428571429,780.879840026304,347.579654253624,8.13599516230349,10.786501866582,3.81005960977593,1.35017122711525,0.827106040128225,0.0204720443407584,0.321853439283619,0.00186481668355644,0.0454624213739922,0.0271521720637122,17.7630944772093,-64.8328387171485,7.22059211090539,18.3052039923159,2.07309626648314,4.21105314099594,3.55361920023654,28.0693537449557,30.5364258824353,25.7528681069055,1.2529604180759,2.2729105852665
"Carambola deep",6.91465416236769,55.8093309206145,4.56621514367034,5.67446992363923,2.76075631490633,84.4494721743925,562.204306618566,1.03586501020813,69.0943583993589,82.647969639169,34.5311071513027,4008.63550266918,0.178571428571429,780.879840026304,347.579654253624,8.13599516230349,10.786501866582,3.81005960977593,1.35017122711525,0.827106040128225,0.0204720443407584,0.321853439283619,0.00186481668355644,0.0454624213739922,0.0271521720637122,17.7630944772093,-64.8328387171485,7.22059211090539,18.3052039923159,2.07309626648314,4.21105314099594,3.55361920023654,28.0693537449557,30.5364258824353,25.7528681069055,1.2529604180759,2.2729105852665
"Cane Bay deep",6.86696697983342,50.0443324861739,4.38093896339094,5.23357427930919,2.72907831661101,76.9935915041908,525.047135746566,1.04310153804925,63.7419843971934,68.8499408772769,41.2183930153671,4261.44024718528,0.178571428571429,1032.64081481003,347.579654253624,8.0843385849369,10.2285659833358,3.91577819918731,1.06518197717383,1.10467542949467,0.0208923761424067,0.598215590818013,0.00201582061492189,0.0584206911984472,0.0735705580829769,17.7749562327685,-64.8127799065237,6.14233070262847,14.9168575657999,1.90876526381471,4.3860413604299,2.94514723016226,28.1049665837777,30.4303014879751,25.6087695722232,1.26412948450506,2.29088157161432
